source,metric,human_n,human_mean,human_std,machine_n,machine_mean,machine_std,difference,abs_difference,u_statistic,u_p_value,cohens_d,effect_size,significant_005,significant_001,characteristic_of
fakebr,insight (Insight),10,1.6407431294692543,1.120556255929976,10,1.9108598764908797,0.7160206754668239,-0.27011674702162547,0.27011674702162547,39.0,0.4273553138978077,-0.28726625606763995,small,False,False,machine
fakebr,tentat (Tentative),10,1.6569281593428233,0.7751916275431682,10,1.449861813523792,0.7600164224596592,0.20706634581903138,0.20706634581903138,56.0,0.6775849579524755,0.269743544446623,small,False,False,human
fakebr,interrog (Interrogatives),10,3.633223020174069,1.1856352988589232,10,3.3767707998131087,0.8101863424939282,0.2564522203609605,0.2564522203609605,57.0,0.6231762238821174,0.25255916221264085,small,False,False,human
fakebr,power (Power),10,5.562221669609553,3.0786344235518275,10,6.165156980088149,1.6355179671996096,-0.6029353104785962,0.6029353104785962,34.0,0.24114462621608423,-0.24459388476010993,small,False,False,machine
fakebr,nonflu (Nonfluencies),10,0.05319148936170213,0.1595744680851064,10,0.023529411764705882,0.07058823529411765,0.029662077596996246,0.029662077596996246,50.5,1.0,0.24040659670114145,small,False,False,human
fakebr,death (Death),10,0.3859777413400219,0.5299603256829488,10,0.2821918977415361,0.42910347262181825,0.1037858435984858,0.1037858435984858,53.0,0.8310907900849374,0.21524465105300483,small,False,False,human
fakebr,anx (Anx),10,0.4076494443678289,0.5823261496651064,10,0.47991464226023106,0.2040168884867439,-0.07226519789240216,0.07226519789240216,35.0,0.2694055995352045,-0.16562945152698252,negligible,False,False,machine
fakebr,compare (Comparisons),10,1.8518552860699646,1.4790532240828544,10,1.7024685005417979,0.38292016467616785,0.14938678552816675,0.14938678552816675,51.0,0.969838641404833,0.13827883179047637,negligible,False,False,human
fakebr,anger (Anger),10,1.0520008864769719,1.3184893320127482,10,0.886396888150762,1.073429250215922,0.16560399832620987,0.16560399832620987,39.0,0.4256100315999112,0.1377485301694145,negligible,False,False,human
fakebr,health (Health),10,0.6370791746952738,0.8033082123454647,10,0.5490830274199201,0.4353154211178564,0.08799614727535365,0.08799614727535365,42.0,0.5624049275942742,0.1362029453405903,negligible,False,False,human
fakebr,we (We),10,0.1805654023395959,0.3113158977848816,10,0.21666647845768378,0.2269712899482682,-0.03610107611808788,0.03610107611808788,42.5,0.5503419241063289,-0.1325162390269966,negligible,False,False,machine
fakebr,filler (Filler Words),10,0.10995913805542086,0.18582621859698847,10,0.13491937477132368,0.19122030467372966,-0.02496023671590282,0.02496023671590282,45.0,0.6897863301962214,-0.1323851636904577,negligible,False,False,machine
fakebr,family (Family),10,0.42219208998416535,0.6510770337354884,10,0.4916781636341342,0.48897117828267384,-0.06948607364996884,0.06948607364996884,43.0,0.5906827555913553,-0.12068628884410709,negligible,False,False,machine
fakebr,number (Numbers),10,2.809132425671545,1.2233783578153552,10,2.9193727213748653,0.8154448913117633,-0.11024029570332017,0.11024029570332017,47.0,0.8501067391385259,-0.10603938529930551,negligible,False,False,machine
fakebr,quant (Quantifiers),10,1.2792868529308765,0.8473582288440148,10,1.1985746721558992,0.6671748881808811,0.08071218077497733,0.08071218077497733,52.5,0.8797843010569926,0.10583721454520867,negligible,False,False,human
fakebr,prep (Prepositions),10,22.484299605691525,3.2726569215286534,10,22.218039540682263,1.6757490134270976,0.2662600650092628,0.2662600650092628,56.0,0.6775849579524755,0.1024137089838063,negligible,False,False,human
fakebr,focusfuture (Future Focus),10,0.7277869870303229,0.8243484091510167,10,0.6627545850405971,0.5178837773024212,0.06503240198972571,0.06503240198972571,44.0,0.6752726661454402,0.09447067127986357,negligible,False,False,human
fakebr,home (Home),10,0.2375962969303822,0.35265187479216864,10,0.21860494775813494,0.24370188720670305,0.018991349172247263,0.018991349172247263,44.0,0.6568773112170798,0.06265452896802726,negligible,False,False,human
fakebr,conj (Conjunctions),10,7.06481487397873,1.2411712378385238,10,7.104594312402368,1.0130917336894663,-0.03977943842363718,0.03977943842363718,51.0,0.9698499769931556,-0.03511336719493574,negligible,False,False,machine
fakebr,adverb (Adverbs),10,7.907252100914937,2.7118249123504463,10,7.836581573954637,1.1164738859825583,0.07067052696029918,0.07067052696029918,49.0,0.9698499769931556,0.034079347269743925,negligible,False,False,human
fakebr,affiliation (Affiliation),10,1.7031076122876896,1.298181688593416,10,1.7108354698585793,0.5763196650557431,-0.0077278575708896735,0.0077278575708896735,50.0,1.0,-0.007694420916664124,negligible,False,False,machine
faketruebr,power (Power),10,1.5987681705894228,1.447377442096325,10,5.071698805134342,1.1828170449698532,-3.472930634544919,3.472930634544919,4.0,0.0005717769654451723,-2.627557873709431,large,True,True,machine
faketruebr,drives (Drives),10,7.859999781807318,2.20869596815848,10,11.453736986092371,0.9842047141554713,-3.5937372042850537,3.5937372042850537,9.0,0.0022022199424970783,-2.101816927889147,large,True,True,machine
faketruebr,space (Space),10,5.687041999822428,2.629702199141278,10,9.122004368667579,1.398444610326934,-3.4349623688451505,3.4349623688451505,17.0,0.014019277113959953,-1.630989470402002,large,True,False,machine
